date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:41:35	5227/5227	---M--	200	added ('OK')	text/css	date:Tue,%2023%20Aug%202016%2018:30:35%20GMT	http://www.saadstudio.in/css/overwrite.css	C:/Users/ARUN/Desktop/saad/www.saadstudio.in/css/overwrite.css	(from http://www.saadstudio.in/css/style.css)
20:41:35	13984/13984	---M--	200	added ('OK')	image/gif	date:Tue,%2023%20Aug%202016%2018:32:52%20GMT	http://www.saadstudio.in/js/fancybox/fancybox_loading_402x.gif	C:/Users/ARUN/Desktop/saad/www.saadstudio.in/js/fancybox/fancybox_loading_402x.gif	(from http://www.saadstudio.in/js/fancybox/jquery.fancybox.css)
20:41:38	6931/6931	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Aug%202016%2018:31:05%20GMT	http://www.saadstudio.in/img/items/breakdance.png	C:/Users/ARUN/Desktop/saad/www.saadstudio.in/img/items/breakdance.png	(from http://www.saadstudio.in/dance.html)
20:41:40	28434/28434	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Aug%202016%2018:31:12%20GMT	http://www.saadstudio.in/img/items/hiphop.png	C:/Users/ARUN/Desktop/saad/www.saadstudio.in/img/items/hiphop.png	(from http://www.saadstudio.in/dance.html)
20:41:41	142072/142072	---M--	200	added ('OK')	text/plain	date:Tue,%2023%20Aug%202016%2018:30:49%20GMT	http://www.saadstudio.in/fonts/fontawesome-webfont.ttf?v=4.5.0	C:/Users/ARUN/Desktop/saad/www.saadstudio.in/fonts/fontawesome-webfont3295.ttf	(from http://www.saadstudio.in/css/font-awesome.min.css)
20:41:41	34789/34789	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Aug%202016%2018:31:25%20GMT	http://www.saadstudio.in/img/items/salsa.png	C:/Users/ARUN/Desktop/saad/www.saadstudio.in/img/items/salsa.png	(from http://www.saadstudio.in/dance.html)
20:41:46	52805/52805	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Aug%202016%2018:31:17%20GMT	http://www.saadstudio.in/img/items/latindance.png	C:/Users/ARUN/Desktop/saad/www.saadstudio.in/img/items/latindance.png	(from http://www.saadstudio.in/dance.html)
20:41:47	46168/46168	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Aug%202016%2018:31:03%20GMT	http://www.saadstudio.in/img/items/ballet.png	C:/Users/ARUN/Desktop/saad/www.saadstudio.in/img/items/ballet.png	(from http://www.saadstudio.in/dance.html)
20:41:47	36008/36008	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Aug%202016%2018:31:18%20GMT	http://www.saadstudio.in/img/items/moderndance.png	C:/Users/ARUN/Desktop/saad/www.saadstudio.in/img/items/moderndance.png	(from http://www.saadstudio.in/dance.html)
20:42:06	117259/117259	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Aug%202016%2018:31:25%20GMT	http://www.saadstudio.in/img/items/piano.png	C:/Users/ARUN/Desktop/saad/www.saadstudio.in/img/items/piano.png	(from http://www.saadstudio.in/music.html)
20:43:14	413870/413870	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Aug%202016%2018:31:10%20GMT	http://www.saadstudio.in/img/items/drums.png	C:/Users/ARUN/Desktop/saad/www.saadstudio.in/img/items/drums.png	(from http://www.saadstudio.in/music.html)
20:43:28	82106/82106	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Aug%202016%2018:31:28%20GMT	http://www.saadstudio.in/img/items/singing.png	C:/Users/ARUN/Desktop/saad/www.saadstudio.in/img/items/singing.png	(from http://www.saadstudio.in/music.html)
20:43:32	658451/658451	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Aug%202016%2018:31:17%20GMT	http://www.saadstudio.in/img/items/keyboard.png	C:/Users/ARUN/Desktop/saad/www.saadstudio.in/img/items/keyboard.png	(from http://www.saadstudio.in/music.html)
20:43:36	42281/42281	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Aug%202016%2018:31:01%20GMT	http://www.saadstudio.in/img/items/aerobics.png	C:/Users/ARUN/Desktop/saad/www.saadstudio.in/img/items/aerobics.png	(from http://www.saadstudio.in/fitness.html)
20:43:43	67900/67900	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Aug%202016%2018:31:40%20GMT	http://www.saadstudio.in/img/items/yoga.png	C:/Users/ARUN/Desktop/saad/www.saadstudio.in/img/items/yoga.png	(from http://www.saadstudio.in/fitness.html)
20:43:46	59537/59537	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Aug%202016%2018:31:42%20GMT	http://www.saadstudio.in/img/items/zumba.png	C:/Users/ARUN/Desktop/saad/www.saadstudio.in/img/items/zumba.png	(from http://www.saadstudio.in/fitness.html)
20:43:48	786848/786848	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Aug%202016%2018:31:14%20GMT	http://www.saadstudio.in/img/items/guitar.png	C:/Users/ARUN/Desktop/saad/www.saadstudio.in/img/items/guitar.png	(from http://www.saadstudio.in/music.html)
20:44:03	122247/122247	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20Aug%202016%2018:31:28%20GMT	http://www.saadstudio.in/img/items/songrec.jpg	C:/Users/ARUN/Desktop/saad/www.saadstudio.in/img/items/songrec.jpg	(from http://www.saadstudio.in/recording.html)
20:44:08	139301/139301	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20Aug%202016%2018:31:09%20GMT	http://www.saadstudio.in/img/items/dubbing.jpg	C:/Users/ARUN/Desktop/saad/www.saadstudio.in/img/items/dubbing.jpg	(from http://www.saadstudio.in/recording.html)
20:44:18	86024/86024	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20Aug%202016%2018:31:31%20GMT	http://www.saadstudio.in/img/items/videoshoot.jpg	C:/Users/ARUN/Desktop/saad/www.saadstudio.in/img/items/videoshoot.jpg	(from http://www.saadstudio.in/recording.html)
20:44:24	33227/33227	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20Aug%202016%2018:31:21%20GMT	http://www.saadstudio.in/img/items/photo.jpg	C:/Users/ARUN/Desktop/saad/www.saadstudio.in/img/items/photo.jpg	(from http://www.saadstudio.in/recording.html)
20:44:44	120402/120402	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20Aug%202016%2018:31:48%20GMT	http://www.saadstudio.in/img/portfolio/1.jpg	C:/Users/ARUN/Desktop/saad/www.saadstudio.in/img/portfolio/1.jpg	(from http://www.saadstudio.in/gallery.html)
20:44:55	64483/64483	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20Aug%202016%2018:31:51%20GMT	http://www.saadstudio.in/img/portfolio/2.jpg	C:/Users/ARUN/Desktop/saad/www.saadstudio.in/img/portfolio/2.jpg	(from http://www.saadstudio.in/gallery.html)
